1994group.ac.uk, The 1994 Group
ccol.ac.uk, City of Glasgow College
ccp.ac.uk, Science and Technology Facilities Council
ccp1.ac.uk, Science and Technology Facilities Council
ccp11.ac.uk, Collaborative Computational Projects
ccp13.ac.uk, Science and Technology Facilities Council
ccp14.ac.uk, CLRC - Daresbury Laboratory
ccp2.ac.uk, Science and Technology Facilities Council
ccp3.ac.uk, Science and Technology Facilities Council
ccp4.ac.uk, Science and Technology Facilities Council
ccp5.ac.uk, Science and Technology Facilities Council
ccp6.ac.uk, University of Leeds
ccp9.ac.uk, Science and Technology Facilities Council
ccpb.ac.uk, University of Nottingham
ccplymouth.ac.uk, City College Plymouth
ccpn.ac.uk, University of Cambridge
ccpp.ac.uk, University of Warwick
ccri.ac.uk, Countryside and Community Research Institute
ccsr.ac.uk, Cathie Marsh Centre for Census and Survey Research
ccta.ac.uk, Coleg Sir Gar
ccue.ac.uk, Council for College and University English
ccwp.ac.uk, "Imperial College of Science,  Technology and Medicine"
cdd.ac.uk, Conservetoire for Dance & Drama
ceda.ac.uk, Science and Technology Facilities Council
cedar.ac.uk, University of Durham
ceelbas.ac.uk, University College London
ceesi.ac.uk, The CEESI Project
cefims.ac.uk, The Centre for Financial & Management Studies
ceg.ac.uk, Computer Education Group
ceh-nerc.ac.uk, NERC - Centre for Ecology & Hydrology - Merlewood
ceh-wallingford.ac.uk, Natural Environment Research Council
ceh.ac.uk, Natural Environment Research Council
cem.ac.uk, The College of Estate Management
ceme.ac.uk, Centre For Engineering & Manufacturing Excellence
cemmap.ac.uk, The Institute for Fiscal Studies
cemp.ac.uk, Bournemouth University
census-registration.ac.uk, Economic and Social Research Council
census.ac.uk, University of Essex
central-glasgow.ac.uk, City of Glasgow College
central-lancashire.ac.uk, University of Central Lancashire
centralbeds.ac.uk, Central Bedfordshire College
centralcollege.ac.uk, City of Glasgow College
centralsussex.ac.uk, Central Sussex College
centreforyouthministry.ac.uk, Centre for Youth Ministry
ceoi.ac.uk, Science and Technology Facilities Council
cercia.ac.uk, University of Birmingham
ceredigion.ac.uk, Coleg Ceredigion
ceri.ac.uk, Centre for Enterprise Research
cerlim.ac.uk, Manchester Metropolitan University
ceruk.ac.uk, National Foundation for Educational Research
cetis.ac.uk, Bolton Institute of Higher Education
cetl4healthne.ac.uk, University of Newcastle upon Tyne
cetl4musicne.ac.uk, University of Newcastle upon Tyne
ceug.ac.uk, University of Leeds
cf.ac.uk, Cardiff University
cfas.ac.uk, University of Cambridge
cfldcol.ac.uk, Chesterfield College
cfs.ac.uk, Consortium for Science
cgh.ac.uk, Coleg Glan Hafren
chace.ac.uk, Cheltenham Assessment Centre Ltd
chart.ac.uk, The British Academy
charteredteacher.ac.uk, College of Teachers
chasestudy.ac.uk, St George's Hospital Medical School
chaucer.ac.uk, Shumei Eiko Ltd
chcc.ac.uk, The University of Manchester
che.ac.uk, Centre for Human Ecology
chea-nmidlands.ac.uk, University of Derby
chead.ac.uk, Council for Higher Education in Art & Design
cheep.ac.uk, University of Bristol
cheia.ac.uk, Council of Higher Education Internal Auditors
cheib.ac.uk, Blackburn College
chelmsford-college.ac.uk, Chelmsford College
chelmsford.ac.uk, Chelmsford College
chelt.ac.uk, University of Gloucestershire
cheltenham-he.ac.uk, Cheltenham and Gloucester College of Higher Education
chemicalbiology.ac.uk, "Imperial College of Science,  Technology and Medicine"
chemreact.ac.uk, University College London
chenel.ac.uk, "The College of Haringey,  Enfield and North East London"
cheshirehe.ac.uk, Macclesfield College
chest.ac.uk, Eduserv
chester.ac.uk, University of Chester
chesterfield.ac.uk, Chesterfield College
chi-med.ac.uk, University College London
chi.ac.uk, University of Chichester
chichester.ac.uk, Chichester College
chilbolton.ac.uk, Science and Technology Facilities Council
chipcoll.ac.uk, Wiltshire College
chippcoll.ac.uk, Wiltshire College
chipscohort.ac.uk, Medical Research Council
chiuni.ac.uk, University of Chichester
chlamydia.ac.uk, The UK Chlamydia Screening Study
chms.ac.uk, Council of Heads of Medical Schools
chs.ac.uk, Cornwall College
chugd.ac.uk, The Committee of Heads of University Geoscience
chuls.ac.uk, Committee of Head of University Law Schools
cia.ac.uk, The University of Cumbria
cias.ac.uk, University of Edinburgh
cib.ac.uk, Cardionetics Institute of Bioinformatics- Aston University
cicl.ac.uk, University of Wales- Swansea
cignet.ac.uk, Cornwall College
ciota.ac.uk, The University of Cumbria
cipel.ac.uk, Coventry University
cirencester.ac.uk, Cirencester College
cirre.ac.uk, Research Enterprise Partnership
cisban.ac.uk, University of Newcastle upon Tyne
citscapes.ac.uk, C and IT Skills: Current Situations- Avenues of Possibility- Emerging Solutions
city-and-guilds.ac.uk, The City & Guilds of London Institute
city-poly.ac.uk, City University
city.ac.uk, City University London
cityandguilds.ac.uk, City and Guilds of London Institute
cityandguildsartschool.ac.uk, City and Guilds of London Art School
citybathcoll.ac.uk, City of Bath College
citycol.ac.uk, "City College,  Birmingham"
citycollege.ac.uk, The City College
citycollegebrighton.ac.uk, Brighton City College
citycollegepeterborough.ac.uk, Peterborough City Council
citycollegeplymouth.ac.uk, City College Plymouth
citylit.ac.uk, The Citylit
cityofbristol.ac.uk, City of Bristol College
cityofglacol.ac.uk, City of Glasgow College
cityofglasgowcollege.ac.uk, City of Glasgow College
cityplym.ac.uk, City College Plymouth
citysun.ac.uk, City of Sunderland College
cityuniversitybirmingham.ac.uk, Birmingham City University
cjsw.ac.uk, Criminal Justice Social Work Development Centre for Scotland
ckeene.ac.uk, Leicester College
clackmannan-college.ac.uk, Clackmannan College of Further Education
clacks.ac.uk, Clackmannan College
clad.ac.uk, University of Stirling
classics.ac.uk, University of Glasgow
clc-london.ac.uk, City of London College
clearflo.ac.uk, The University of Reading
cleveland.ac.uk, Redcar and Cleveland College
clh.ac.uk, University of London
clickandgovideo.ac.uk, The University of Manchester
cliffcollege.ac.uk, Cliff College
climatechangewales.ac.uk, Aberystwyth University
clinicalnotes.ac.uk, RSLP Clinical Notes Project
clinicalskillscentre.ac.uk, City University London
cln.ac.uk, Cornwall College
clp.ac.uk, London Guildhall University
clrc.ac.uk, Science and Technology Facilities Council
clt.ac.uk, College of Teachers
cltad.ac.uk, University of the Arts London
clydebank.ac.uk, Clydebank College
cmcsm.ac.uk, Centre for Mathematical and Computational Science in Medicine
cmpcp.ac.uk, University of Cambridge
cms.ac.uk, The Council for Mathematical Sciences
cnmd.ac.uk, MRC Centre for Neuromuscular Diseases
cnwl.ac.uk, College of North West London
co-op.ac.uk, The Co-operative College
co-opcollege.ac.uk, Co-operative College
co-operative.ac.uk, Co-operative College
coatbridge.ac.uk, Coatbridge College
cobra.ac.uk, University of Abertay Dundee
coccfea.ac.uk, University of Southampton
cochrane-airways.ac.uk, St George's Hospital Medical School
cochrane.ac.uk, UK Cochrane Centre
cockcroft.ac.uk, Science and Technology Facilities Council
cocoman.ac.uk, The British Library
cocorees.ac.uk, Collaborative Collection Management for Russian & East European Studies
cod-health.ac.uk, Council of Deans of Health
cods-nursing.ac.uk, University of London
coem.ac.uk, The College of Emergency Medicine
cof.ac.uk, Birmingham College of Food - Tourism and Creative Studies
cogc.ac.uk, City of Glasgow College
col-westanglia.ac.uk, The College of West Anglia
col.ac.uk, The Sheffield College
colch-inst.ac.uk, Colchester Institute Enterprises Limited
colchester.ac.uk, Colchester Institute Enterprises Limited
colchsfc.ac.uk, "The Sixth Form College,  Colchester"
coleg-powys.ac.uk, Coleg Powys
colegaucymru.ac.uk, Colegau Cymru
colegcymraeg.ac.uk, Y Coleg Cymraeg Cenedlaethol
colegelidyr.ac.uk, Coleg Elidyr
coleggwent.ac.uk, Coleg Gwent
colegmorgannwg.ac.uk, Coleg Morgannwg
colegsirbenfro.ac.uk, Pembrokeshire College
colegsirgar.ac.uk, Coleg Sir Gar
college-falmouth.ac.uk, Cornwall College
collegecareearlyed.ac.uk, College of Care and Early Education
collegeconnections.ac.uk, College Connections
collegeofosteopaths.ac.uk, The College Of Osteopaths
collegeofteachers.ac.uk, College of Teachers
collegesni.ac.uk, Association of Northern Ireland Colleges
collegeswales.ac.uk, Colegau Cymru
collemergencymed.ac.uk, The College of Emergency Medicine
collyers.ac.uk, The College of Richard Collyer
colpet.ac.uk, College of Petrolium and Energy Studies
comm-coll-hackney.ac.uk, Hackney Community College
commnet.ac.uk, University of Edinburgh
competitionpolicy.ac.uk, University of East Anglia
computing.ac.uk, Engineering - Mathematics & Computing Hub
computingleeds.ac.uk, School of Computing- University of Leeds
conel.ac.uk, College of North East London
conform.ac.uk, The University of Manchester
confuciusinstitute.ac.uk, University of Edinburgh
connect.ac.uk, The Higher Education Academy
conservatoiresuk.ac.uk, Royal Welsh College of Music and Drama
consultants.ac.uk, University of Oxford
copac.ac.uk, The University of Manchester
copior.ac.uk, University of Strathclyde
cops.ac.uk, University of Sussex
copstat.ac.uk, Committee of Professors of Statistics
cordwainers.ac.uk, Cordwainers College
core.ac.uk, University of St Andrews
cornell-brown-penn.ac.uk, The Cornell-Brown-Penn United Kingdom Centre
cornwall-acl.ac.uk, Cornwall Council
cornwall-vithform.ac.uk, Cornwall College
cornwall.ac.uk, Cornwall College
cosc.ac.uk, City of Sunderland College
coseelis.ac.uk, University of Glasgow
coshep.ac.uk, Committee of Scottish Higher Education Principals
cospop.ac.uk, Committee of the Scottish Professors of Physics
cot.ac.uk, College of Teachers
coulsdon.ac.uk, Coulsdon College
counsellingresearch.ac.uk, University of Abertay Dundee
coup.ac.uk, Procureweb
court21.ac.uk, University of Leeds
courtauld.ac.uk, Courtauld Institute of Art
cov.ac.uk, Coventry University
covcollege.ac.uk, City College Coventry
cove4careinkent.ac.uk, South and West Kent College
coventry.ac.uk, Coventry University
cowc.ac.uk, City of Wolverhampton College
cowork.ac.uk, Centre for Research & Policy in Disability
cpc.ac.uk, University of Southampton
cpd25.ac.uk, London School of Economics and Political Science
cpdnoticeboard.ac.uk, Liverpool John Moores University
cphc.ac.uk, Manchester Metropolitan University
cpib.ac.uk, University of Nottingham
cppe.ac.uk, The University of Manchester
cppr.ac.uk, University of Glasgow
cptt.ac.uk, Cumbria Primary Teacher Training
cral.ac.uk, The Centre for Remote Access to Learning
cran.ac.uk, Cranfield University
cranfield.ac.uk, Cranfield University
crash.ac.uk, St George's Hospital Medical School
craven-college.ac.uk, Craven College
crawley-college.ac.uk, Crawley College
creativity-cetl.ac.uk, University of Sussex
creditlink-east.ac.uk, Anglia Ruskin University
cresc.ac.uk, The University of Manchester
crest.ac.uk, GuildHE
crew.ac.uk, The Macaulay Land Use Research Institute
crfr.ac.uk, Centre for Research on Families & Relationships
cri.ac.uk, The Conference of University Rectors in Ireland
cric.ac.uk, The University of Manchester
cricbristol.ac.uk, University of Bristol
crichton.ac.uk, Crichton College of the Universities of Glasgow and Paisley
crick.ac.uk, UK Centre for Medical Research & Innovation
cricklade.ac.uk, Cricklade College
criticaltheology.ac.uk, University of Nottingham
cronton.ac.uk, Riverside College Halton
crontonsixthform.ac.uk, Riverside College Halton
crontonsixthformcollege.ac.uk, Riverside College Halton
cropyields.ac.uk, The Queen's University of Belfast
cros.ac.uk, CROS - Contract Research Online Survey
crossways.ac.uk, Crossways Academy
croydon.ac.uk, Croydon College
croydon6f.ac.uk, Croydon College
croydonacl.ac.uk, London Borough of Croydon
croydonhe.ac.uk, Croydon College
croydonsec.ac.uk, Croydon College
crsbi.ac.uk, Corpus of Romanesque Sculpture in Britain & Ireland- King's College London
crsp.ac.uk, Centre for Research in Social Policy
crucible-cetl.ac.uk, Roehampton University
csc.ac.uk, Consortium of Staffordshire Colleges
cscuk.ac.uk, Association of Commonwealth Universities
csec.ac.uk, Centre for Study of Early Christianity
cserge.ac.uk, University of East Anglia
cshl.ac.uk, Brunel University
csm.ac.uk, The Manchester College
csmen.ac.uk, Clinical Skills Managed Educational Network
csn-cetl.ac.uk, City University London
cspacademy.ac.uk, Safety Net Associates LTD
csrs.ac.uk, University of Stirling
csrw.ac.uk, University of Surrey
cssd.ac.uk, The Central School of Speech and Drama
csu.ac.uk, The University of Manchester
ct-toolkit.ac.uk, Medical Research Council
ctc.ac.uk, Cambridge Tutors Independent Sixth Form College
cthawards.ac.uk, Confederation of Tourism and Hospitality
ctksfc.ac.uk, Christ the King Sixth Form College
ctlondon.ac.uk, College of Technology London
ctr-math-phys.ac.uk, Centre for Mathematical Physics
cts.ac.uk, University of Warwick
cttoolkit.ac.uk, Medical Research Council
cuc.ac.uk, University College Falmouth
cudah.ac.uk, University of Westminster
cudassh.ac.uk, University of Westminster
cudos.ac.uk, University of Cambridge
cue.ac.uk, Glasgow Caledonian University
cuhop.ac.uk, The Council of University Heads of Pharmacy Schools
cukas.ac.uk, UCAS Limited
culham.ac.uk, The Culham Institute
cultiva.ac.uk, Cultiva
cultureofthecountryside.ac.uk, University of East Anglia
cumberlandlodge.ac.uk, Cumberland Lodge
cumbernauld.ac.uk, Cumbernauld College
cumbria.ac.uk, The University of Cumbria
cumbriacad.ac.uk, The University of Cumbria
cumbriahigherlearning.ac.uk, The University of Cumbria
cunw.ac.uk, Glyndwr University
cupid.ac.uk, Procureweb
curdev-fe-ni.ac.uk, Northern Regional College
curl.ac.uk, Consortium of Research Libraries
cutg.ac.uk, Conference of University Teachers of German in GB and Ireland
cuv.ac.uk, Swansea University
cvcp.ac.uk, Comittee of Vice-Chancellors and Principals
cvma.ac.uk, The Corpus Vitrearum Medii Aevi- King's College London
cvr.ac.uk, University of Glasgow
cvs.ac.uk, University of Oxford - Curriculum Vitaes
cvu.ac.uk, Edge Hill University
cwa.ac.uk, The College of West Anglia
cwc.ac.uk, City of Westminster College
cwcfe.ac.uk, Charles Wootton College
cwrc.ac.uk, Loughborough University
cxwms.ac.uk, Charing Cross and Westminster Medical School
cyber-college.ac.uk, Cyber College International
cymdeithasddysgedigcymru.ac.uk, University of Wales
cymru.ac.uk, University of Wales
dance-archives.ac.uk, University of Surrey
dardcolleges.ac.uk, Department of Agriculture & Rural Development
daresbury.ac.uk, Daresbury Laboratory
darlington.ac.uk, Darlington College
dartington.ac.uk, University College Falmouth
